config_pesos,artigo_id,estrato,tarefa,score_global,n_itens,n_na,titulo,ano,venue,doi
nucleares,ID_12,FER,FER,12.5,16,4,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
nucleares,ID_15,FER,FER,8.333333333333332,16,1,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,10.1109/ICDT61202.2024.10489327
nucleares,ID_34,MULTI,MULTI,66.0,16,0,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,2024,IEEE Transactions on Affective Computing,10.1109/TAFFC.2023.3297270
nucleares,ID_38,MULTI,MULTI,57.99999999999999,16,0,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,2022,ACM Transactions on Human-Robot Interaction,10.1145/3526111
nucleares,ID_31,MULTI,MULTI,56.00000000000001,16,0,MSP-GEO Corpus: A Multimodal Database for Understanding Video-Learning Experience,2024,International Conference on Multimodal Interaction,10.1145/3678957.3685737
nucleares,ID_14,MULTI,MULTI,54.0,16,0,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,2024,IEEE Transactions on Industrial Informatics,10.1109/TII.2024.3452757
nucleares,ID_09,MULTI,MULTI,44.0,16,0,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,2024,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3363710
nucleares,ID_19,MULTI,MULTI,32.0,16,0,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,2024,2nd World Conference on Communication & Computing,10.1109/WCONF61366.2024.10692119
nucleares,ID_33,MULTI,MULTI,26.0,16,0,Multimodal Dyadic Impression Recognition via Listener Adaptive Cross-Domain Fusion,2023,IEEE ICASSP 2023,10.1109/ICASSP49357.2023.10095072
nucleares,ID_08,MULTI,MULTI,14.000000000000002,16,0,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,2023,IEEE 9th International Women in Engineering Conference on Electrical and Computer Engineering,10.1109/WIECON-ECE60392.2023.10456488
nucleares,ID_04,MULTI,MULTI,8.0,16,0,Advanced Deep Learning Architectures for Real-Time Human Emotion Recognition and Behavioral Prediction,2023,"International Conference on Communication, Computer Sciences and Engineering",10.1109/IC3SE62002.2024.10592940
nucleares,ID_41,SER,SER,72.0,16,0,Emotion Recognition in the Real-World: Passively Collecting and Estimating Emotions from Natural Speech Data of Individuals with Bipolar Disorder,2025,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3407683
nucleares,ID_42,SER,SER,68.0,16,0,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",2023,Proc. Interspeech 2023,10.21437/Interspeech.2023-2111
nucleares,ID_43,SER,SER,47.91666666666667,16,1,Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning,2022,IEEE PerCom Workshops 2022,10.1109/PerComWorkshops53856.2022.9767445 
nucleares,ID_28,SER,SER,20.833333333333336,16,1,Identification of Emotions in a given speech audio clip by using ANN,2024,International Conference on Emerging Technologies in Computer Science for Interdisciplinary Applications,
robustez,ID_39,FER,FER,65.0,16,1,FacePsy: An Open-Source Affective Mobile Sensing,2024,Proceedings of the ACM on Human-Computer Interaction,10.1145/3676505
robustez,ID_17,FER,FER,42.5,16,1,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,2023,IEEE ICCCNT 2023,10.1109/ICCCNT56998.2023.10308238
robustez,ID_27,FER,FER,42.5,16,1,Identification of Emotions From Facial Gestures in a Teaching Environment With the Use of Machine Learning Techniques,2023,IEEE ACCESS,10.1109/ACCESS.2023.3267007
robustez,ID_07,FER,FER,17.5,16,1,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
robustez,ID_18,FER,FER,15.0,16,1,Deep Learning for Facial Expression Recognition using EfficientNetB0,2023,Global Conference on Information Technologies and Communications,10.1109/GCITC60406.2023.10426615
robustez,ID_25,FER,FER,15.0,16,1,Facial Expression Recognition with Transfer Learning: A Deep Dive,2024,IEEE TQCEBT 2024,10.1109/TQCEBT59414.2024.10545031
robustez,ID_12,FER,FER,13.333333333333334,16,4,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
robustez,ID_16,FER,FER,12.5,16,1,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,2024,"International Conference on Electronics, Computing, Communication and Control Technology",10.1109/ICECCC61767.2024.10593953
robustez,ID_15,FER,FER,7.5,16,1,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,10.1109/ICDT61202.2024.10489327
robustez,ID_34,MULTI,MULTI,61.904761904761905,16,0,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,2024,IEEE Transactions on Affective Computing,10.1109/TAFFC.2023.3297270
robustez,ID_14,MULTI,MULTI,59.523809523809526,16,0,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,2024,IEEE Transactions on Industrial Informatics,10.1109/TII.2024.3452757
robustez,ID_38,MULTI,MULTI,59.523809523809526,16,0,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,2022,ACM Transactions on Human-Robot Interaction,10.1145/3526111
robustez,ID_31,MULTI,MULTI,50.0,16,0,MSP-GEO Corpus: A Multimodal Database for Understanding Video-Learning Experience,2024,International Conference on Multimodal Interaction,10.1145/3678957.3685737
robustez,ID_09,MULTI,MULTI,40.476190476190474,16,0,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,2024,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3363710
robustez,ID_19,MULTI,MULTI,30.952380952380953,16,0,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,2024,2nd World Conference on Communication & Computing,10.1109/WCONF61366.2024.10692119
robustez,ID_33,MULTI,MULTI,23.809523809523807,16,0,Multimodal Dyadic Impression Recognition via Listener Adaptive Cross-Domain Fusion,2023,IEEE ICASSP 2023,10.1109/ICASSP49357.2023.10095072
robustez,ID_08,MULTI,MULTI,14.285714285714285,16,0,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,2023,IEEE 9th International Women in Engineering Conference on Electrical and Computer Engineering,10.1109/WIECON-ECE60392.2023.10456488
robustez,ID_04,MULTI,MULTI,9.523809523809524,16,0,Advanced Deep Learning Architectures for Real-Time Human Emotion Recognition and Behavioral Prediction,2023,"International Conference on Communication, Computer Sciences and Engineering",10.1109/IC3SE62002.2024.10592940
robustez,ID_41,SER,SER,76.19047619047619,16,0,Emotion Recognition in the Real-World: Passively Collecting and Estimating Emotions from Natural Speech Data of Individuals with Bipolar Disorder,2025,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3407683
robustez,ID_42,SER,SER,71.42857142857143,16,0,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",2023,Proc. Interspeech 2023,10.21437/Interspeech.2023-2111
robustez,ID_43,SER,SER,50.0,16,1,Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning,2022,IEEE PerCom Workshops 2022,10.1109/PerComWorkshops53856.2022.9767445 
robustez,ID_28,SER,SER,17.5,16,1,Identification of Emotions in a given speech audio clip by using ANN,2024,International Conference on Emerging Technologies in Computer Science for Interdisciplinary Applications,
