artigo_id,estrato,item_id,grau,NA,justificativa_NA,evidencia,observacoes
ID_31,MULTI,DAD,2,0,,"p. 652-656; Sec. 3.3; Fig. 2; conjunto MSP-GEO, dados demográficos exaustivos fornecidos, distribuição contínua.","Grau 2. Apresenta seu próprio dataset (MSP-GEO). Explicita as características do processo de rastreamento, o tamanho das sub-partições, apresenta informações demográficas ricas e a distribuição de anotações contínuas."
ID_34,MULTI,DAD,1,0,,"p. 713-718; Sec. IV; Fig. 1; conjuntos EmoPain e Laughter, demografia referenciada mas ausente no artigo.",Grau 1. Os conjuntos EmoPain e Laughter são descritos e têm sua distribuição apresentada de forma parcial. A demografia é referenciada para outros artigos ou completamente ausente no relato local.
ID_33,MULTI,DAD,1,0,,"p. 654; Sec. 3; --; relata a dimensão do dataset 'Dyadic IMPRESSION' e a quantidade de participantes (40 ouvintes e 13 locutores), mas sem caracterização demográfica.","Grau 1. O dataset é verificado na literatura, contudo inexiste a presença das métricas populacionais descritivas e sociais dos participantes na extração."
ID_43,SER,DAD,1,0,,"p. 675; Sec. IV; --; referencia de maneira curta a base IEMOCAP e sua composição de sessões interativas e emocionais, sem trazer demografia e distribuição.","Grau 1. Base perfeitamente identificável, mas subexplorada demograficamente na seção de avaliação do paper."
ID_38,MULTI,DAD,1,0,,"p. 820-824; Sec. 3.1; App. A.3 Table 2; dados de 4 crianças, distribuição de classes na tabela do apêndice, demografia ausente.","Grau 1. O estudo analisa os dados longitudinais de 4 crianças com TEA. Há detalhamento das sessões, mas nenhuma informação demográfica mínima (idade ou gênero) explicitada no escopo deste artigo."
ID_04,MULTI,ROT,0,0,,"p. 1307-1308; Sec. I/IV; Fig. 3; rótulos de emoção tratados como dados prontos, sem descrição do processo de anotação ou de métrica de confiabilidade.","Grau 0. O artigo menciona conjuntos vagos (públicos e sintéticos) e trata os rótulos alvo como um dado pronto nos resultados, sem citar quem os anotou, o protocolo ou as medidas de concordância."
ID_07,FER,ROT,1,0,,"p. 26; Sec. III.A; Fig. 1; rótulos herdados da base pública RAVDESS, sem reporte de confiabilidade ou concordância no artigo.","Grau 1. O estudo herda e utiliza os rótulos originais do conjunto público RAVDESS. Há descrição mínima por meio da citação da base, mas nenhuma métrica quantitativa de confiabilidade do rótulo é apresentada localmente."
ID_08,MULTI,ROT,1,0,,"p. 55; Sec. VI; --; rótulos de engajamento foram gerados via remapeamento conceitual de emoções, sem validação empírica ou confiabilidade reportada.",Grau 1. A classificação de engajamento é feita através de um remapeamento subjetivo e conceitual de emoções básicas (ex: 'Happy' virou 'Highly Engaged'). A ausência de protocolo verificável ou validação empírica do remapeamento restringe a nota a 1.
ID_09,MULTI,ROT,1,0,,"p. 100; Sec. III.C; --; rótulos de personalidade herdados (UDIVA, ChaLearn), com declaração explícita de impossibilidade de investigar a confiabilidade.","Grau 1. O estudo herda dados das bases UDIVA (autorrelato por CBQ, EATQ-R, BFI) e ChaLearn, relatando explicitamente que não foi possível medir a confiabilidade dos construtos em parte da base."
ID_12,FER,ROT,0,0,,"p. 138; Sec. II/III; Fig. 2; rótulos tratados como prontos (Happy, Sad, etc.), sem detalhar origem, processo ou confiabilidade.","Grau 0. Embora cite fontes públicas genericamente, não define qual base foi usada nem descreve a qualidade, protocolo de rotulagem ou qualquer métrica de concordância."
ID_14,MULTI,ROT,0,0,,"p. 161; Sec. V; --; uso de bases públicas (State Farm, DEAP) e teste com base capturada e rotulada manualmente sem qualquer descrição do processo.","Grau 0. Regra do Mínimo. Embora o estudo herde bases públicas para treino (Grau 1), o autor testou o protótipo em uma base de dados 'capturada e rotulada manualmente', sem prover qualquer detalhe de quem anotou, o protocolo ou a concordância para esse conjunto de teste."
ID_15,FER,ROT,0,0,,"p. 187; Sec. III.A; --; adição de imagens extraídas do Google tratadas como rotuladas, sem descrição do processo de anotação.",Grau 0. Regra do mínimo. O estudo usa uma base do Kaggle (Grau 1) e adiciona imagens do Google para treinamento/teste. Não há descrição de como essas imagens do Google foram rotuladas manualmente ou validadas.
ID_16,FER,ROT,0,0,,"p. 203-204; Sec. III; --; uso de fontes públicas não referenciadas corretamente, rótulos tomados como prontos e sem concordância.",CONFLITO: a citação fornecida para a base de dados pública [1] aponta para um artigo de agricultura (doenças do trigo). Grau 0. Não há rastro real sobre a origem da anotação ou de sua confiabilidade.
ID_17,FER,ROT,1,0,,"p. 218-219; Sec. III; --; rótulos herdados de bases públicas conhecidas (RAF-DB, JAFFE, FER+), sem medida de confiabilidade no próprio artigo.","Grau 1. Os rótulos foram originados em bases públicas explicitamente citadas, preenchendo o requisito de identificação de origem, mas nenhuma métrica quantitativa de concordância interavaliadores foi reportada na peça."
ID_18,FER,ROT,1,0,,p. 247; Sec. III; Fig. 1; rótulos herdados da base pública CK+48 sem métrica de confiabilidade reportada.,"Grau 1. Base CK+ explicitamente referenciada como fonte dos rótulos prontos, mas carente de medidas de confiabilidade ou de concordância reproduzidas no escopo do trabalho."
ID_19,MULTI,ROT,1,0,,"p. 264-266; Sec. III.D; --; rótulos herdados diretamente de bases públicas (FER 2013, CK+, RAVDESS), sem relato de concordância quantitativa.","Grau 1. Utilização de bases públicas referenciadas adequadamente como fonte dos rótulos, mas não dispõe de detalhamento da concordância para nenhuma delas (Regra do Mínimo)."
ID_41,SER,ROT,1,0,,p. 295-309; Sec. IV.A/V.D; Tab. II; base MSP-Podcast herdada sem métrica de concordância; avaliações próprias (digiBP) com confiabilidade Omega reportada.,"Grau 1. Regra do Mínimo. O artigo atinge o nível 2 para o processo original (autorrelato/digiBP e avaliações clínicas) apresentando confiabilidade via Omega (Tabela 2). Porém, os modelos dependem da base MSP-Podcast, a qual apenas herda os rótulos de ativação e valência, carecendo de métrica local de confiabilidade."
ID_42,SER,ROT,1,0,,"p. 394-396; Sec. 3.1; Tab. 1; rótulos herdados das bases públicas IEMOCAP, MSP-Improv e MSP-Podcast, sem reporte de confiabilidade ou concordância.","Grau 1. O estudo mapeia os valores médios de valência e ativação baseados nas avaliações que já existem nativamente nas três bases de domínio público, sem prover no próprio texto uma medida quantitativa de concordância ou confiabilidade da anotação."
ID_39,FER,ROT,1,0,,"p. 440-441; Sec. 4.3; --; uso de instrumento psicométrico de autorrelato (PHQ-9) com remapeamento binário (>=5), sem métrica quantitativa de confiabilidade do instrumento inserida no artigo.","Grau 1. Os rótulos de presença ou ausência de episódio depressivo foram obtidos a partir dos scores do PHQ-9. O remapeamento das classes possui limiar claro, mas falta menção a uma medida de confiabilidade empírica (ex: Alpha de Cronbach) na aplicação do instrumento."
ID_25,FER,ROT,1,0,,"p. 516-517; Sec. IV.A; Fig. 2; rótulos da base CK+ usados de forma herdada, ausência de medidas de confiabilidade de rótulo.","Grau 1. Identifica os rótulos pelo uso canônico do repositório público CK+, mas omite qualquer dado quantitativo que embase a confiabilidade ou a concordância destas anotações no estudo."
ID_27,FER,ROT,1,0,,"p. 540-541; Sec. II.D; Tab. 1; estudantes simularam as próprias emoções para os vídeos (autorrotulagem implícita), sem dupla anotação ou medida de confiabilidade.","Grau 1. Os rótulos vêm de atuações espontâneas encenadas pelos sujeitos conforme solicitado. Trata-se de uma descrição mínima do processo, porém inexiste verificação cruzada (dupla anotação) ou validação de concordância das atuações."
ID_28,SER,ROT,1,0,,"p. 577-580; Sec. I; --; rótulos herdados a partir de base baixada do Kaggle, sem descrição dos avaliadores ou confiabilidade.","Grau 1. A base de dados de áudios referenciada (em seções anteriores ao método) provém do Kaggle. O rótulo-alvo tem a descrição mínima como uma base pública herdada, mas sem aferição local quantitativa de consistência."
ID_31,MULTI,ROT,2,0,,p. 630-633; Sec. 5.1; Tab. 3; anotação contínua completa por 7 avaliadores através do software CARMA e cálculo de Alpha de Cronbach por avaliador.,"Grau 2. Atende integralmente aos requisitos: explicita a origem, protocolo (traços temporais com joystick), quantifica anotadores (7), uso de métrica quantitativa explícita reportada formalmente (Alpha de Cronbach entre avaliadores)."
ID_34,MULTI,ROT,2,0,,"p. 681-686; Sec. IV/VI.B; --; identificação de 30 fisioterapeutas (EmoPain) e anotadores crowd (Laughter), com avaliação quantitativa via Correlação Intraclasse (ICC).","Grau 2. Todo o artigo baseia-se na validação da qualidade dos rótulos por consenso de múltiplos avaliadores. Traz o perfil dos anotadores (fisioterapeutas e crowdworkers), amostragem esparsa, resolução da anotação e as métricas ICC para ambas as bases (0.72, 0.71, 0.63 e 0.20)."
ID_33,MULTI,ROT,1,0,,"p. 735; Sec. 3; --; descrição mínima que relata a anotação da base herdada Dyadic IMPRESSION, sem a medida quantitativa explícita de concordância no texto.","Grau 1. Os dados advêm de base construída em estudo prévio, citando como ocorreu o processo de anotação e referenciando sua herança. Contudo, não oferece medida quantitativa de concordância ou confiabilidade para suportar a validade na leitura deste próprio material."
ID_43,SER,ROT,1,0,,p. 768-769; Sec. IV; --; o trabalho restringe sua avaliação à base pública IEMOCAP; rótulos herdados sem reporte de confiabilidade local.,Grau 1. Utiliza o subconjunto improvisado e herdado das atuações na base IEMOCAP com citação explícita. Não reporta medições de confiabilidade ou métricas dos anotadores.
ID_38,MULTI,ROT,2,0,,p. 802; Sec. 3.3; Tab. 3; anotação manual com protocolo explícito e duplo controle cruzado parcial em 20% com métrica de Kappa de Fleiss.,Grau 2. Relata precisamente o processo: um anotador primário realizou a tarefa inteira; três anotadores secundários realizaram amostragem de 20% para dupla anotação cruzada. Métrica adequada quantitativa reportada (Kappa de Fleiss de 81% e 83%).
ID_04,MULTI,ESC,0,0,,p. 1308; Sec. III; --; bases de dados e protocolo vagos/não identificáveis impedem a verificação da tarefa.,"Grau 0. O artigo carece de identificação clara das bases de dados, tornando a tarefa (Task) inverificável. Não há ligação rastreável estruturada."
ID_07,FER,ESC,1,0,,"p. 31; Sec. III.A; Fig. 1; construto e tarefa identificados, mas relação com observáveis é implícita baseada nos rótulos da base RAVDESS.",Grau 1. Construto (emoções) e tarefa (base RAVDESS) são identificáveis. A evidência não é dissecada além da entrada de dados natural; baseia-se na suposição de que os rótulos de áudio/vídeo representam as emoções de forma implícita no aprendizado.
ID_08,MULTI,ESC,0,0,,p. 52-54; Sec. III/IV; Fig. 1; tarefa inverificável devido à falta de identificação rastreável da base de dados e do protocolo.,"Grau 0. Embora cite construto e métodos, a base de dados de vídeo e as condições de obtenção e rotulagem das imagens não são identificáveis ou rastreáveis."
ID_09,MULTI,ESC,2,0,,"p. 86-87, 103-104; Sec. III.A/III.C; Fig. 1; conexão explícita entre personalidade, observáveis de áudio/vídeo e tarefas nas bases UDIVA e ChaLearn.","Grau 2. CET completo. Descreve claramente o construto (Big Five), detalha os observáveis extraídos (frames, espectrogramas, MFCC) e articula a estrutura experimental e condições nas bases de forma reprodutível."
ID_12,FER,ESC,0,0,,"p. 138, 140; Sec. I/III; --; base de dados não identificável, inviabilizando a verificação da tarefa e condições.","Grau 0. Falha fundamental na rastreabilidade da base de dados (fontes públicas não nomeadas), anulando o critério 'Task'."
ID_14,MULTI,ESC,1,0,,"p. 158-160, 170; Sec. III/V; Fig. 4; construto e observáveis são descritos, mas detalhes da rotulagem da base de teste são ausentes, deixando a tarefa incompleta.","Grau 1. Apresenta variáveis físicas precisas e construto (distração/afeto), mas falha ao ocultar as condições de rotulagem do conjunto de testes capturado manualmente no protótipo, tornando a Task parcialmente inverificável."
ID_15,FER,ESC,0,0,,p. 198; Sec. III.A; Fig. 1; base de dados e protocolo de rotulagem inverificáveis (imagens do Google e Kaggle vago).,"Grau 0. Construto genérico; dependência de imagens vagas obtidas via pesquisa no Google sem protocolo rastreável de validação, quebrando a exigência de Task verificável."
ID_16,FER,ESC,0,0,,"p. 213-214; Sec. III; --; base de dados referenciada incorretamente, tornando a tarefa e condições inverificáveis.",Grau 0. Citação de base de dados aponta para um estudo de agricultura (conflito apontado no I01/I02). A falha torna a Task completamente inverificável.
ID_17,FER,ESC,1,0,,"p. 227-228; Sec. III/IV; --; construto e tarefa identificados, mas CET depende de representações latentes implícitas (CNN) sobre as bases.","Grau 1. Os observáveis (Evidence) não são esmiuçados além dos pixels brutos consumidos pelo modelo de atenção, ancorando a inferência na suposição de que o rótulo nativo das bases de dados encapsula o construto."
ID_18,FER,ESC,1,0,,"p. 250-251; Sec. III; Fig. 1; construto e tarefa descritos, mas a relação depende da extração genérica de features da base CK+48.","Grau 1. Semelhante a outros estudos fim-a-fim, aponta o construto e a tarefa, mas trata o observável genericamente como pixels redimensionados, com elo implícito atrelado ao rótulo da base CK+."
ID_19,MULTI,ESC,1,0,,"p. 266-270; Sec. III.B/III.D; Fig. 1; tarefas definidas em FER2013, CK+ e RAVDESS, mas o enquadramento permanece implícito em modelos fim-a-fim.","Grau 1. Construto e tarefas identificados em bases bem documentadas, porém os observáveis são tratados como caixas pretas latentes nos modelos CNN e LSTM, sem conceituação explícita de sinais na Evidence."
ID_41,SER,ESC,2,0,,"p. 311-314; Sec. VI/VII; Fig. 3; articulação explícita da severidade do humor, métricas de inércia/variabilidade extraídas e o protocolo longitudinal.","Grau 2. Excelente estrutura CET. Relaciona severidade de transtorno bipolar (Claim) a matrizes dinâmicas de inércia, anomalias e variância (Evidence) em um protocolo com bases e questionários validados rastreáveis (Task)."
ID_42,SER,ESC,2,0,,"p. 404, 408; Sec. 1/3.2; --; conecta ativação a sinais acústicos e valência a embeddings textuais, validando nas bases com tarefa de aprendizado contínuo.","Grau 2. Construto (emoções por ativação/valência) é atrelado explicitamente a embeddings focados em acústica e semântica léxica (Evidence), delineado na tarefa de aprendizado contínuo sobre 3 domínios claros."
ID_39,FER,ESC,2,0,,"p. 449-450, 462-463; Sec. 3.3/5.1; --; justificação teórica das AUs, EAR e pose para o construto de depressão, com protocolo de campo.","Grau 2. CET perfeitamente executado na Sec. 3.3, onde a literatura fundamenta o uso de AUs específicas e métricas geométricas como observáveis de sintomas depressivos validados em estudo in-the-wild."
ID_25,FER,ESC,1,0,,"p. 540, 544; Sec. III/IV.A; --; construto e tarefa identificados, mas evidência foca em pixels genéricos com extração implícita no DenseNet121.","Grau 1. Descreve o reconhecimento na base CK+, mas os sinais (Evidence) são relegados à generalização do peso da ImageNet de modo implícito."
ID_27,FER,ESC,2,0,,"p. 559, 576-577; Sec. I/III; Fig. 8; articulação do construto com extração explícita de distâncias geométricas entre pontos faciais para aprendizado supervisionado.","Grau 2. Estabelece a teoria do afeto no ensino (Claim), mostra extração explícita de distâncias por geometria de landmarks (Evidence) atrelados ao protocolo em ambiente simulado do dataset autoral (Task)."
ID_28,SER,ESC,0,0,,"p. 605, 618-619; Sec. I/V; --; base de dados de origem vaga (Kaggle), o que inviabiliza a validação da tarefa.","Grau 0. Há menção a observáveis, mas por não prover a identificação da origem e das condições de rotulagem do dataset, a dimensão de Tarefa colapsa e barra a rastreabilidade do CET."
ID_31,MULTI,ESC,2,0,,"p. 639, 660; Sec. 3/5.2; --; descreve a extração de features faciais (EMOCA) para prever estados contínuos anotados no protocolo MSP-GEO.","Grau 2. Construção metodológica completa que conecta a experiência de aprendizado, a extração explícita contínua de traços na face e a tarefa de anotação contínua (CARMA) dentro da base MSP-GEO."
ID_34,MULTI,ESC,2,0,,"p. 707, 711; Sec. IV.A/IV.B; Tab. I/II; vincula o construto aos observáveis fisiológicos e cinemáticos listados para a tarefa multiavaliador.","Grau 2. Apresenta conexão direta e rastreável entre as inferências de dor/riso e as coordenadas 3D de membros corporais atreladas às respostas musculares sEMG, num ambiente metodológico reprodutível."
ID_33,MULTI,ESC,1,0,,"p. 756-757; Sec. 3; --; a evidência provém de vetores pré-extraídos da base, tornando a relação com o construto implícita.","Grau 1. Usa vetores gerados na publicação anterior da base Dyadic IMPRESSION (412D/68D). Sem a nomeação explícita e conceitual dos sinais locais como prova do construto, cai para 1."
ID_43,SER,ESC,2,0,,p. 780; Sec. III; Fig. 1; extração explícita de espectrogramas log-Mel como evidência para classificar emoções no cenário federado.,Grau 2. Conecta formalmente o uso de compartimentalização temporal e espectral em blocos de frequências (Evidence) sobre a tarefa federada e semisupervisionada para aferir as 4 emoções básicas.
ID_38,MULTI,ESC,2,0,,"p. 825, 826; Sec. 3.2/3.3; --; articula explicitamente as variáveis extraídas com o referencial de ativação/valência na tarefa de intervenção com robôs.","Grau 2. O CET é integral. Define a inferência em TEA (Claim), exibe farta lista de atributos esqueléticos/acústicos e de gameplay (Evidence) aplicados ao delineamento de sessões com o robô."
ID_04,MULTI,PRE,0,0,,"p. 1308; Sec. IV; --; menção genérica de normalização, aumento e segmentação sem especificar parâmetros.","Grau 0. O artigo menciona etapas de pré-processamento (normalização, aumento de dados, segmentação) e extração de características apenas de maneira genérica, sem citar nenhum parâmetro crítico."
ID_07,FER,PRE,1,0,,"p. 31-32; Sec. III.B; Eq. 1; cita características tradicionais e seleção via pontuação de Fisher, mas omite dimensões e limites (threshold).","Grau 1. Lista a extração de características (HOG, Gabor, LBP) e uso da pontuação de Fisher, com a fórmula providenciada, mas omite completamente parâmetros das características base e o valor do threshold."
ID_08,MULTI,PRE,1,0,,"p. 50-52; Sec. III.B; Eq. 1; lista MFCC/Chroma/Mel e normalização Min-Max [1], mas omite tamanhos de janelas, dimensões da imagem e coeficientes MFCC.","Grau 1. O artigo detalha a extração usando bibliotecas conhecidas e a normalização de pixels, mas falha em relatar parâmetros críticos como o tamanho da imagem redimensionada, janela de áudio e número de coeficientes."
ID_09,MULTI,PRE,2,0,,"p. 85-87, 95-97; Sec. III.A/III.B; --; detalha dimensões exatas de corte/redimensionamento (224x224, 112x112), taxas de áudio (44.1kHz) e comprimentos de frames.","Grau 2. Excelente detalhamento para múltiplos pipelines. Todos os parâmetros críticos (dimensões da face, frequência de amostragem de áudio, janelas temporais de espectrogramas e coeficientes MFCC/Logfbank) são explicitados."
ID_12,FER,PRE,1,0,,"p. 140; Sec. III; --; menciona redimensionamento para 224x224, escala de cinza e normalização [1], mas omite intensidades/limites do aumento de dados.","Grau 1. Embora cite dimensões de entrada e normalização, as técnicas de aumento de dados (rotação, escala, inversão horizontal) e parâmetros dos extratores (HAAR) não possuem valores críticos reportados."
ID_14,MULTI,PRE,1,0,,"p. 156-158, 165; Sec. III.B/III.C/V; --; taxa de amostragem informada (1000Hz), mas há omissão de parâmetros de PCA e conflito na quantidade de pontos.","CONFLITO: Afirma amostragem fisiológica a 1000 Hz em janela de 120s, mas declara reter apenas 8064 data points (p. 156), o que é matematicamente inconsistente. Grau 1 por omitir como ocorreu o filtro e os parâmetros do PCA para redução de dimensão."
ID_15,FER,PRE,1,0,,"p. 190, 193-195; Sec. IV/V; --; entrada 224x224x3 declarada, mas omite limiares e intensidades de aumento de dados e das cascatas de Haar.","Grau 1. Identifica transformações comuns (histogram equalization, Haar cascades, cropping, rotation) e dimensão final, mas as intensidades e configurações não são reproduzíveis."
ID_16,FER,PRE,1,0,,"p. 204-205; Sec. III; --; redimensionamento e aumento de dados listados de forma descritiva, omitindo totalmente as dimensões exatas e graus de rotação.","Grau 1. Lista etapas válidas de pré-processamento (tons de cinza, rotação, zoom), mas a falta de dimensões uniformes exatas e de limiares matemáticos impede a reprodução."
ID_17,FER,PRE,1,0,,"p. 218; Sec. IV.A; --; lista métodos de Data Augmentation aplicados no Keras, mas omite as dimensões da imagem e os valores/faixas de transformação.","Grau 1. Afirma que redimensionou as imagens para as ""dimensões apropriadas"" e aplicou zoom, shear, e rotação, mas não reporta nenhuma das faixas numéricas de operação."
ID_18,FER,PRE,1,0,,"p. 239, 243-245; Abstract/Sec. III; --; especifica imagens 200x200 em escala de cinza, mas alega aumento de dados no abstract sem documentar parâmetros no texto.","Grau 1. O pipeline de dimensionamento é claro (200x200), bem como a rede (EfficientNetB0 com 3 camadas a menos). No entanto, o artigo alega uso de ""data augmentation"" no resumo e omite toda e qualquer especificação sobre ele no método."
ID_19,MULTI,PRE,1,0,,"p. 262-265; Sec. III.A/III.B/Fig. 2; informa imagens redimensionadas em 48x48, mas omite todos os parâmetros críticos da extração de áudio (MFCC, pitch).","Grau 1. Regra do mínimo aplicada. A parte visual informa a dimensão (48x48), mas a modalidade acústica que processa o MFCC no LSTM não traz janelamento, quantidade de coeficientes ou taxa de amostragem."
ID_41,SER,PRE,2,0,,"p. 287, 291-292, 299-300; Sec. III.B/IV.B/VI; --; relata parâmetros de VAD (webrtcvad agg=0), limites de entrada (20s, 128 subwords) e métricas estatísticas baseadas em janela de 30 dias.","Grau 2. Explica integralmente as configurações fixadas: remoção de silêncio com grau de agressividade, restrições numéricas para o Wav2Vec2/BERT e os recortes percentis (5 e 95) para detecção de anomalias diárias."
ID_42,SER,PRE,2,0,,"p. 367-368, 370; Sec. 3.1/3.2; footnotes 1-2; informa restrições de tempo (3-30s), escala Min-Max dos rótulos e as configurações exatas dos modelos pré-treinados usados para extração.","Grau 2. Além de referenciar as bibliotecas exatas do HuggingFace no rodapé, especifica restrições temporais e as camadas extraídas (CLS token do BERT com dropout 0.2)."
ID_39,FER,PRE,2,0,,"p. 402, 411, 414-416; Sec. 3.3/5.1/5.3/5.4; --; detalha o cálculo geométrico do IVA (1439 triângulos), limiar de seleção com CART (0.00078125) e redução a 10 componentes por PCA.","Grau 2. Descreve precisamente o uso do ML Kit, processamento de landmark a nível local, cálculo de IVA, redução de dimensionalidade, imputação de média e limiares fixados da seleção de características em árvores de decisão."
ID_25,FER,PRE,1,0,,"p. 467-468; Sec. III.A/III.B; --; relata ImageDataGenerator com rescaling e flips, mas omite dimensões, fatores de escala e intensidades operacionais.","Grau 1. Menciona ferramentas padronizadas, mas não fixa os parâmetros, impedindo reprodução do estado exato da matriz que alimentou a DenseNet."
ID_27,FER,PRE,2,0,,"p. 494; Sec. II.D; --; detalha explicitamente o uso do haarcascade_frontalface, com redimensionamento intermediário (640 width) e corte quadrado exato da face para 150x150.","Grau 2. Demonstra a rotina computacional completa com os tamanhos do redimensionamento inicial e final, conversões em escala de cinza e biblioteca."
ID_28,SER,PRE,1,0,,"p. 529-530; Sec. III.a; --; informa a reamostragem em 22KHz via Librosa, mas não fornece os parâmetros da transformada de Fourier e coeficientes MFCC.","Grau 1. Identifica a reamostragem, mas falha em providenciar comprimento da janela, stride e o número de cepstrums capturados no processo de MFCC da Librosa."
