artigo_id,artigo_titulo,dataset_id,modalidade,tarefa,ambiente_coleta,dependencia_temporal,n_amostras_total,pretreino,modalidades_presentes,modelo_familia,modelo_especifico,protocolo_person_indep,protocolo_cross_dataset,metricas_principais,metrica_principal_valor,augmentations,code_available,weights_available,observacoes,
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",MSP-Podcast,MULTIMODAL,regressao,selvagem,sim,40727,sim,"[""audio"", ""texto""]",Multimodal,NA,nao,sim,"[""CCC""]",453,NA,nao,nao,Modelo multimodal de referência reportado no artigo para SER com áudio e texto.,
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",MSP-Podcast,MULTIMODAL,regressao,selvagem,sim,40727,sim,"[""audio"", ""texto""]",Multimodal,ExpeR,nao,sim,"[""CCC""]",504,NA,nao,nao,Modelo ExpeR avaliado em SER com áudio e texto,protocolo cross-dataset.
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",MSP-Podcast,MULTIMODAL,regressao,selvagem,sim,40727,sim,"[""audio"", ""texto""]",Multimodal,GEM,nao,sim,"[""CCC""]",527,NA,nao,nao,Modelo GEM avaliado em SER com áudio e texto,protocolo cross-dataset.
ID_39,FacePsy - An Open-Source Affective Mobile Sensing System - Analyzing Facial Behavior and Head Gesture for Depression Detection in Naturalistic Settings,FacePsy,HER,deteccao,selvagem,sim,544,nao,"[""video""]",Boosting_ML,LightGBM (Feature Selection hybrid),nao,nao,"[""AUC""]",0.81,NA,sim,nao,"Detecção de episódios depressivos vs. não depressivos em ambiente naturalístico. Melhor modelo híbrido com feature selection e LightGBM, avaliado com LOPDO; AUROC=0.81 e F1=0.67. SMOTE foi usado como oversampling no treino, não como augmentation.",
ID_25,Facial Expression Recognition with Transfer Learning: A Deep Dive,CK+,FER,multiclasse,controlado,nao,NA,sim,"[""video""]",CNN,DenseNet121,nao,nao,"[""F1_MACRO""]",0.98,"[""rescaling"", ""brightness variations"", ""horizontal flips""]",nao,nao,Ambiente de coleta preenchido via fallback do dataset,F1-score reportado como métrica principal.
ID_27,Identification of Emotions From Facial Gestures in a Teaching Environment With the Use of Machine Learning Techniques,NA,FER,multiclasse,misto,nao,6300,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",699,NA,nao,nao,Modelo avaliado em contexto educacional,o artigo não identifica nominalmente o dataset.
ID_28,Identification of Emotions in a Given Speech Audio Clip by using ANN,NA,SER,multiclasse,NA,nao,2800,nao,"[""audio""]",ANN,ANN,nao,nao,"[""ACC""]",0.9567,NA,nao,nao,Dataset retirado do Kaggle,acurácia reportada no conjunto de teste.
ID_31,MSP-GEO Corpus: A Multimodal Database for Understanding Video-Learning Experience,MSP-GEO,HER,regressao,misto,sim,NA,nao,"[""video""]",RNN,BiLSTM,sim,nao,"[""CCC""]",552,NA,nao,nao,"Regressão contínua de engajamento, boredom e confusion em contexto educacional; tratado como HER. O corpus é multimodal, mas esta linha representa o experimento visual/facial extraído.",
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",ANN,MRCL,sim,nao,"[""F1_MACRO""]",778,NA,sim,nao,Tarefa binária de guarding vs. not guarding com sinais multimodais (cinemática corporal + sEMG),GPE F1=0.778.
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",RF,RF,sim,nao,"[""F1_MACRO""]",688,NA,sim,nao,Baseline RF no EmoPain para guarding vs. not guarding com sinais multimodais,mantida como multiclasse por compatibilidade taxonômica da planilha.
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",Boosting_ML,Boosting,sim,nao,"[""F1_MACRO""]",636,NA,sim,nao,Baseline Boosting no EmoPain para guarding vs. not guarding com sinais multimodais,mantida como multiclasse por compatibilidade taxonômica da planilha.
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",ANN,Logistic,sim,nao,"[""F1_MACRO""]",0.7,NA,sim,nao,Baseline logístico linear no EmoPain para guarding vs. not guarding com sinais multimodais,mantida como multiclasse por compatibilidade taxonômica da planilha.
ID_33,Multimodal Dyadic Impression Recognition via Listener Adaptive Cross-Domain Fusion,Dyadic IMPRESSION,MULTIMODAL,regressao,misto,sim,44923,nao,"[""audio"", ""video"", ""fisiologia""]",Multimodal,Listener Adaptive Cross-Domain Fusion,nao,nao,"[""CCC""]",788,NA,nao,nao,CCC extraído para a dimensão de Competência.,
ID_43,Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning,IEMOCAP,SER,multiclasse,controlado,sim,NA,nao,"[""audio""]",CNN,Attention-based CNN,sim,nao,"[""AB""]",0.6052,NA,nao,nao,"A métrica refere-se à acurácia não ponderada (UA), aqui registrada como AB, no regime speaker independent supervisionado com FL.",
ID_38,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,NA,MULTIMODAL,deteccao,selvagem,sim,138703,nao,"[""video"", ""audio""]",Boosting_ML,XGBoost with s-DA (Arousal),nao,nao,"[""AUC""]",0.92,NA,nao,nao,Rótulos binários de arousal (positivo/neutro vs. negativo),AUROC ponderado de 0.92 para o modelo personalizado XGBoost com s-DA.
ID_38,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,NA,MULTIMODAL,deteccao,selvagem,sim,138703,nao,"[""video"", ""audio""]",Boosting_ML,XGBoost with s-DA (Valence),nao,nao,"[""AUC""]",0.86,NA,nao,nao,Rótulos binários de valence (positivo/neutro vs. negativo),AUROC ponderado de 0.86 para o modelo personalizado XGBoost com s-DA.
